Language Name,Net Requests,Publication Symbol,Geo Name,Service Year and Month
English,13344,nwt,United States,SY201401
English,593104,nwt,United States,SY201402
English,559085,nwt,United States,SY201403
English,45499,nwt,United States,SY201404
English,35705,nwt,United States,SY201405
English,54215,nwt,United States,SY201406
English,54786,nwt,United States,SY201407
English,69407,nwt,United States,SY201408
English,70359,nwt,United States,SY201409
English,64040,nwt,United States,SY201410
English,61304,nwt,United States,SY201411
English,71416,nwt,United States,SY201412
English,64932,nwt,United States,SY201501
English,62708,nwt,United States,SY201502
English,65384,nwt,United States,SY201503
English,58745,nwt,United States,SY201504
English,52271,nwt,United States,SY201505
English,53910,nwt,United States,SY201506
English,51720,nwt,United States,SY201507
English,70707,nwt,United States,SY201508
English,68269,nwt,United States,SY201509
English,65684,nwt,United States,SY201510
English,58027,nwt,United States,SY201511
English,64558,nwt,United States,SY201512
English,61196,nwt,United States,SY201601
English,66126,nwt,United States,SY201602
English,60251,nwt,United States,SY201603
English,60600,nwt,United States,SY201604
English,52390,nwt,United States,SY201605
English,49601,nwt,United States,SY201606
English,49514,nwt,United States,SY201607
English,51351,nwt,United States,SY201608
English,45876,nwt,United States,SY201609
English,39768,nwt,United States,SY201610
English,40919,nwt,United States,SY201611
English,41358,nwt,United States,SY201612
English,48125,nwt,United States,SY201701
English,40118,nwt,United States,SY201702
English,41710,nwt,United States,SY201703
English,39148,nwt,United States,SY201704
English,38802,nwt,United States,SY201705
English,36777,nwt,United States,SY201706
English,37255,nwt,United States,SY201707
English,35178,nwt,United States,SY201708
English,38791,nwt,United States,SY201709
English,32705,nwt,United States,SY201710
English,35333,nwt,United States,SY201711
English,33354,nwt,United States,SY201712
English,40908,nwt,United States,SY201801
English,36964,nwt,United States,SY201802
English,32637,nwt,United States,SY201803
English,34306,nwt,United States,SY201804
English,29194,nwt,United States,SY201805
English,27162,nwt,United States,SY201806
English,26862,nwt,United States,SY201807
English,30924,nwt,United States,SY201808
English,29676,nwt,United States,SY201809
English,3233,nwt,United States,SY201810
English,3318,nwt,United States,SY201811
English,2644,nwt,United States,SY201812
English,2587,nwt,United States,SY201901
English,2659,nwt,United States,SY201902
English,2670,nwt,United States,SY201903
English,2528,nwt,United States,SY201904
English,7360,nwt,United States,SY201905
English,9286,nwt,United States,SY201906
English,18983,nwt,United States,SY201907
English,23566,nwt,United States,SY201908
English,25733,nwt,United States,SY201909
English,24933,nwt,United States,SY201910
English,31075,nwt,United States,SY201911
English,346952,nwt,United States,SY201912
English,29700,nwt,United States,SY202001
English,152989,nwt,United States,SY202002
English,39142,nwt,United States,SY202003
English,46371,nwt,United States,SY202004
English,34947,nwt,United States,SY202005
English,30727,nwt,United States,SY202006
English,15444,nwt,United States,SY202007
English,2439,nwt,United States,SY202008
English,2941,nwt,United States,SY202009
English,2627,nwt,United States,SY202010
English,2431,nwt,United States,SY202011
English,4946,nwt,United States,SY202012
English,4600,nwt,United States,SY202101
English,5576,nwt,United States,SY202102
English,5683,nwt,United States,SY202103
English,5643,nwt,United States,SY202104
English,5595,nwt,United States,SY202105
English,5584,nwt,United States,SY202106
English,5099,nwt,United States,SY202107
English,4999,nwt,United States,SY202108
English,1879,nwt,United States,SY202109
